Name,Capital,continent
Anguilla,The Valley,North America
Antigua and Barbuda,St. John's,North America
Aruba,Oranjestad,Latin America
Bahamas,Nassau,Latin America
Barbados,Bridgetown,Latin America
Belize,Belmopan,Latin America
Bermuda,Hamilton,North America
Bonaire,Kralendijk,North America
British Virgin Islands,Road Town,North America
Canada,Ottawa,North America
Cayman Islands,George Town,Latin America
Clipperton Island,—,North America
Costa Rica,San José,Latin America
Cuba,Havana,Latin America
Curaçao,Willemstad,North America
Dominica,Roseau,Latin America
Dominican Republic,Santo Domingo,Latin America
El Salvador,San Salvador,Latin America
Greenland,Nuuk,North America
Grenada,St. George's,Latin America
Guadeloupe,Basse-Terre,Latin America
Guatemala,Guatemala City,Latin America
Haiti,Port-au-Prince,Latin America
Honduras,Tegucigalpa,Latin America
Jamaica,Kingston,Latin America
Martinique,Fort-de-France,Latin America
Mexico,Mexico City,Latin America
Montserrat,Plymouth (official) Brades (seat of government),North America
Navassa Island,Lulu Town,North America
Nicaragua,Managua,Latin America
Panama,Panama City,Latin America
Puerto Rico,San Juan,Latin America
Saba,The Bottom,North America
Saint Barthélemy,Gustavia,Latin America
Saint Kitts and Nevis,Basseterre,North America
Saint Lucia,Castries,North America
Saint Martin,Marigot,North America
Saint Pierre and Miquelon,Saint-Pierre,North America
Saint Vincent and the Grenadines,Kingstown,North America
Sint Eustatius,Oranjestad,North America
Sint Maarten,Philipsburg,North America
Trinidad and Tobago,Port of Spain,North America
Turks and Caicos Islands,Cockburn Town,North America
United States,"Washington, D.C.",North America
United States Virgin Islands,Charlotte Amalie,North America
Argentina,Buenos Aires,Latin America
Bolivia,Sucre (official) La Paz (seat of government),Latin America
Brazil,Brasília,Latin America
Chile,Santiago,Latin America
Colombia,Bogotá,Latin America
Ecuador,Quito,Latin America
Falkland Islands,Stanley,Latin America
French Guiana,Cayenne,Latin America
Guyana,Georgetown,Latin America
Paraguay,Asunción,Latin America
Peru,Lima,Latin America
South Georgia and the South Sandwich Islands,King Edward Point,Latin America
Suriname,Paramaribo,Latin America
Uruguay,Montevideo,Latin America
Venezuela,Caracas,Latin America
Algeria,Algiers,Africa
Angola,Luanda,Africa
Benin,Porto-Novo (official) Cotonou (seat of government),Africa
Botswana,Gaborone,Africa
Burkina Faso,Ouagadougou,Africa
Burundi,Bujumbura,Africa
Cameroon,Yaoundé,Africa
Cape Verde,Praia,Africa
Central African Republic,Bangui,Africa
Chad,N'Djamena,Africa
Comoros,Moroni,Africa
Congo (Congo-Brazzaville),Brazzaville,Africa
Democratic Republic of the Congo (Congo-Kinshasa),Kinshasa,Africa
Djibouti,Djibouti City,Africa
Egypt,Cairo,Africa
Equatorial Guinea,Malabo,Africa
Eritrea,Asmara,Africa
Ethiopia,Addis Ababa,Africa
Gabon,Libreville,Africa
Gambia,Banjul,Africa
Ghana,Accra,Africa
Guinea,Conakry,Africa
Guinea-Bissau,Bissau,Africa
Ivory Coast (Côte d'Ivoire),Yamoussoukro (official) Abidjan (seat of government),Africa
Kenya,Nairobi,Africa
Lesotho,Maseru,Africa
Liberia,Monrovia,Africa
Libya,Tripoli,Africa
Madagascar,Antananarivo,Africa
Malawi,Lilongwe,Africa
Mali,Bamako,Africa
Mauritania,Nouakchott,Africa
Mauritius,Port Louis,Africa
Mayotte,Mamoudzou,Africa
Morocco,Rabat,Africa
Mozambique,Maputo,Africa
Namibia,Windhoek,Africa
Niger,Niamey,Africa
Nigeria,Abuja,Africa
Réunion,Saint-Denis,Africa
Rwanda,Kigali,Africa
Sahrawi Arab Democratic Republic,"El Aaiún (official) Tifariti (factual temporary, seat of government) and Sahrawi refugee camps (some government and military facilities)",Africa
"Saint Helena, Ascension and Tristan da Cunha",Jamestown (Saint Helena) Georgetown (Ascension Island) Edinburgh of the Seven Seas (Tristan da Cunha),Africa
São Tomé and Príncipe,São Tomé,Africa
Senegal,Dakar,Africa
Seychelles,Victoria,Africa
Sierra Leone,Freetown,Africa
Somalia,Mogadishu,Africa
Somaliland,Hargeisa,Africa
South Africa,Pretoria (administrative/executive) Cape Town (legislative) Bloemfontein (judicial),Africa
South Sudan,Juba,Africa
Sudan,Khartoum,Africa
Swaziland,Mbabane (administrative) Lobamba (royal and legislative),Africa
Tanzania,Dodoma (official) Dar es Salaam (seat of government),Africa
Togo,Lomé,Africa
Tunisia,Tunis,Africa
Uganda,Kampala,Africa
Zambia,Lusaka,Africa
Zimbabwe,Harare,Africa
Abkhazia,Sukhumi,Asia
Afghanistan,Kabul,Asia
Akrotiri and Dhekelia,Episkopi Cantonment,Asia
Armenia,Yerevan,Asia
Artsakh,Stepanakert,Asia
Azerbaijan,Baku,Asia
Bahrain,Manama,Asia
Bangladesh,Dhaka,Asia
Bhutan,Thimphu,Asia
British Indian Ocean Territory,Diego Garcia,Asia
Brunei,Bandar Seri Begawan,Asia
Cambodia,Phnom Penh,Asia
China,Beijing,Asia
Christmas Island,Flying Fish Cove,Asia
Cocos (Keeling) Islands,West Island,Asia
Cyprus,Nicosia,Asia
East Timor (Timor-Leste),Dili,Asia
Georgia,Tbilisi,Asia
Hong Kong,—,Asia
India,New Delhi,Asia
Indonesia,Jakarta,Asia
Iran,Tehran,Asia
Iraq,Baghdad,Asia
Israel,Jerusalem,Asia
Japan,Tokyo,Asia
Jordan,Amman,Asia
Kazakhstan,Astana,Asia
Kuwait,Kuwait City,Asia
Kyrgyzstan,Bishkek,Asia
Laos,Vientiane,Asia
Lebanon,Beirut,Asia
Macau,—,Asia
Malaysia,Kuala Lumpur (official) Putrajaya (seat of government),Asia
Maldives,Malé,Asia
Mongolia,Ulaanbaatar,Asia
Myanmar (Burma),Naypyidaw,Asia
Nepal,Kathmandu,Asia
Northern Cyprus,North Nicosia,Asia
North Korea,Pyongyang,Asia
Oman,Muscat,Asia
Pakistan,Islamabad,Asia
Palestine,East Jerusalem (claimed capital),Asia
Philippines,Manila,Asia
Qatar,Doha,Asia
Saudi Arabia,Riyadh,Asia
Singapore,Singapore,Asia
South Korea,Seoul,Asia
South Ossetia,Tskhinvali,Asia
Sri Lanka,Sri Jayawardenapura Kotte,Asia
Syria,Damascus,Asia
Taiwan,Taipei,Asia
Tajikistan,Dushanbe,Asia
Thailand,Bangkok,Asia
Turkey,Ankara,Asia
Turkmenistan,Ashgabat,Asia
United Arab Emirates,Abu Dhabi,Asia
Uzbekistan,Tashkent,Asia
Vietnam,Hanoi,Asia
Yemen,Sana'a,Asia
American Samoa,Pago Pago,Oceania
Ashmore and Cartier Islands,—,Oceania
Australia,Canberra,Oceania
Baker Island,—,Oceania
Cook Islands,Avarua,Oceania
Coral Sea Islands,—,Oceania
Easter Island,—,Oceania
Fiji,Suva,Oceania
French Polynesia,Papeete,Oceania
Guam,Hagåtña,Oceania
Howland Island,—,Oceania
Jarvis Island,—,Oceania
Johnston Atoll,—,Oceania
Kingman Reef,—,Oceania
Kiribati,South Tarawa,Oceania
Marshall Islands,Majuro,Oceania
Micronesia,Palikir,Oceania
Midway Atoll,—,Oceania
Nauru,Yaren (seat of government),Oceania
New Caledonia,Nouméa,Oceania
New Zealand,Wellington,Oceania
Niue,Alofi,Oceania
Norfolk Island,Kingston,Oceania
Northern Mariana Islands,Saipan,Oceania
Palau,Ngerulmud,Oceania
Palmyra Atoll,—,Oceania
Papua New Guinea,Port Moresby,Oceania
Pitcairn Islands,Adamstown,Oceania
Samoa,Apia,Oceania
Solomon Islands,Honiara,Oceania
Tokelau,"Nukunonu (main settlement, although each atoll has its own administrative centre)",Oceania
Tonga,Nukuʻalofa,Oceania
Tuvalu,Funafuti,Oceania
Vanuatu,Port Vila,Oceania
Wake Island,—,Oceania
Wallis and Futuna,Mata-Utu,Oceania
Åland Islands,Mariehamn,Europe
Albania,Tirana,Europe
Andorra,Andorra la Vella,Europe
Austria,Vienna,Europe
Belarus,Minsk,Europe
Belgium,Brussels,Europe
Bosnia and Herzegovina,Sarajevo,Europe
Bulgaria,Sofia,Europe
Croatia,Zagreb,Europe
Czech Republic,Prague,Europe
Denmark,Copenhagen,Europe
Estonia,Tallinn,Europe
Faroe Islands,Tórshavn,Europe
Finland,Helsinki,Europe
France,Paris,Europe
Germany,Berlin,Europe
Gibraltar,Gibraltar,Europe
Greece,Athens,Europe
Guernsey,Saint Peter Port,Europe
Hungary,Budapest,Europe
Iceland,Reykjavík,Europe
Ireland,Dublin,Europe
Isle of Man,Douglas,Europe
Italy,Rome,Europe
Jersey,Saint Helier,Europe
Kosovo,Pristina,Europe
Latvia,Riga,Europe
Liechtenstein,Vaduz,Europe
Lithuania,Vilnius,Europe
Luxembourg,Luxembourg,Europe
Macedonia,Skopje,Europe
Malta,Valletta,Europe
Moldova,Chişinău,Europe
Monaco,Monaco,Europe
Montenegro,Podgorica,Europe
Netherlands,Amsterdam,Europe
Norway,Oslo,Europe
Poland,Warsaw,Europe
Portugal,Lisbon,Europe
Romania,Bucharest,Europe
Russia,Moscow,Europe
San Marino,San Marino,Europe
Serbia,Belgrade,Europe
Slovakia,Bratislava,Europe
Slovenia,Ljubljana,Europe
Spain,Madrid,Europe
Svalbard,Longyearbyen,Europe
Sweden,Stockholm,Europe
Switzerland,Bern,Europe
Transnistria,Tiraspol,Europe
Ukraine,Kiev,Europe
United Kingdom,London,Europe
Vatican City/Holy See,Vatican City,Europe
